Year,Hydro electric Power,Biomass,Geo thermal,Solar,Wind,Total
1960,10.40 ,6.50 ,0.00 ,0.00 ,0.00 ,16.90 
1965,9.80 ,6.60 ,0.00 ,0.00 ,0.00 ,16.40 
1970,13.00 ,8.40 ,0.00 ,0.00 ,0.00 ,21.30 
1971,16.60 ,8.90 ,0.00 ,0.00 ,0.00 ,25.50 
1972,12.90 ,10.00 ,0.00 ,0.00 ,0.00 ,22.90 
1973,13.30 ,10.30 ,0.00 ,0.00 ,0.00 ,23.60 
1974,14.80 ,9.40 ,0.00 ,0.00 ,0.00 ,24.20 
1975,15.70 ,9.00 ,0.00 ,0.00 ,0.00 ,24.70 
1976,13.40 ,10.30 ,0.00 ,0.00 ,0.00 ,23.60 
1977,11.20 ,12.50 ,0.00 ,0.00 ,0.00 ,23.70 
1978,13.90 ,15.50 ,0.00 ,0.00 ,0.00 ,29.40 
1979,16.70 ,16.50 ,0.00 ,0.00 ,0.00 ,33.20 
1980,17.80 ,10.70 ,0.00 ,0.00 ,0.00 ,28.60 
1981,14.60 ,14.10 ,0.00 ,0.00 ,0.00 ,28.80 
1982,17.20 ,14.80 ,0.00 ,0.00 ,0.00 ,32.00 
1983,19.70 ,16.20 ,0.00 ,0.00 ,0.00 ,35.90 
1984,22.60 ,17.20 ,0.00 ,0.00 ,0.00 ,39.80 
1985,24.60 ,18.60 ,0.00 ,0.00 ,0.00 ,43.20 
1986,23.60 ,20.60 ,0.00 ,0.00 ,0.00 ,44.30 
1987,18.90 ,13.50 ,0.00 ,0.00 ,0.00 ,32.40 
1988,18.00 ,14.60 ,0.00 ,0.00 ,0.00 ,32.60 
1989,18.30 ,12.10 ,0.40 ,0.10 ,0.00 ,30.90 
1990,14.80 ,11.80 ,0.40 ,0.20 ,0.00 ,27.10 
1991,18.70 ,13.30 ,0.40 ,0.20 ,0.00 ,32.60 
1992,15.50 ,12.90 ,0.40 ,0.20 ,0.00 ,29.00 
1993,19.70 ,13.30 ,0.40 ,0.20 ,0.00 ,33.60 
1994,15.90 ,12.70 ,0.40 ,0.20 ,0.00 ,29.30 
1995,22.00 ,13.90 ,0.40 ,0.20 ,0.00 ,36.50 
1996,18.80 ,16.30 ,0.40 ,0.20 ,0.00 ,35.80 
1997,20.80 ,17.10 ,0.40 ,0.20 ,0.00 ,38.50 
1998,14.90 ,15.80 ,0.40 ,0.20 ,0.00 ,31.40 
1999,16.00 ,15.60 ,0.60 ,0.20 ,0.00 ,32.40 
2000,14.80 ,16.40 ,0.60 ,0.20 ,0.00 ,32.00 
2001,15.40 ,13.70 ,0.60 ,0.20 ,0.50 ,30.50 
2002,12.30 ,12.50 ,0.60 ,0.20 ,1.40 ,27.00 
2003,12.80 ,13.80 ,0.50 ,0.20 ,1.50 ,28.80 
2004,12.00 ,14.20 ,0.60 ,0.20 ,2.20 ,29.10 
2005,14.20 ,12.80 ,0.60 ,0.20 ,7.80 ,35.60 
2006,17.80 ,15.00 ,0.60 ,0.20 ,8.60 ,42.20 
2007,17.10 ,19.80 ,0.60 ,0.30 ,12.80 ,50.60 
2008,20.10 ,24.00 ,0.70 ,0.80 ,31.70 ,77.40 
2009,18.40 ,27.20 ,0.70 ,1.20 ,30.90 ,78.40 
2010,15.40 ,30.80 ,0.70 ,1.90 ,33.70 ,82.50 
2011,20.20 ,33.50 ,0.70 ,2.90 ,50.50 ,107.90 
2012,14.20 ,32.80 ,0.80 ,4.00 ,56.80 ,108.60 
2013,11.60 ,36.70 ,0.80 ,5.20 ,68.70 ,122.90 
2014,16.80 ,37.50 ,0.80 ,6.00 ,70.10 ,131.20 
2015,15.10 ,41.90 ,0.80 ,6.30 ,69.70 ,133.70 
2016,17.60 ,44.10 ,0.80 ,9.50 ,87.00 ,158.90 
2017,17.50 ,44.10 ,0.80 ,14.00 ,85.80 ,162.10 
2018,16.60 ,44.60 ,0.80 ,15.30 ,88.70 ,166.00 
2019,16.10 ,47.80 ,0.80 ,16.80 ,96.60 ,178.10 
2020,14.60 ,41.80 ,0.80 ,19.60 ,117.40 ,194.30 
